,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2011-09-23,62.51,46.45,39.31,59.51,404.3,60.34,34.24,40.67,25.06,69.97,38.91,48.78,95.18,88.92,34.89,50.8,15.21,19.02,17.45,223.61,27.17,53.73,67.42,73.99,21.4,31.9,169.34,90.01,23.69,40.46,34.13,41.44,73.86,43.28,6.31,22.19,29.89,33.72,27.22,33.72,18.48,9.86,16.99,67.85,61.25,72.09,52.6,29.21,55.92,22.32,14.4,4.22,7.1,14.71,69.31,29.59,87.37,15.61,51.05,30.89
2011-09-26,64.13,47.56,40.41,62.01,403.17,61.89,35.26,41.52,25.44,70.8,39.37,49.9,99.14,90.89,36.03,51.83,15.57,18.99,17.77,229.85,27.69,54.82,68.76,75.19,21.9,32.61,174.51,91.49,24.79,41.54,34.4,43.09,76.85,44.54,6.6,23.46,30.75,34.0,27.4,34.26,19.2,10.08,17.44,68.77,62.54,73.78,53.41,29.92,56.85,22.71,14.75,4.34,7.4,14.75,71.72,31.65,89.34,15.99,52.41,31.43
2011-09-27,64.26,47.08,40.57,62.78,399.26,62.43,35.83,42.19,25.67,71.18,40.55,51.34,99.55,91.07,33.77,52.03,15.76,19.22,17.75,224.21,28.44,55.44,69.57,76.28,22.33,33.35,177.71,93.54,24.96,42.26,34.69,44.0,77.67,45.74,6.48,23.38,31.72,33.88,28.03,34.93,19.2,10.12,17.94,68.8,63.26,74.27,54.18,30.17,58.29,23.59,15.17,4.41,7.57,14.54,72.91,31.57,89.74,16.07,53.49,31.7
2011-09-28,63.23,46.47,40.29,61.92,397.01,61.97,33.37,41.8,25.58,69.82,38.76,51.33,96.32,88.73,32.75,51.31,15.45,19.34,17.56,229.71,27.8,55.85,68.06,73.6,22.0,33.05,177.55,91.74,24.45,40.89,34.02,43.67,75.08,45.15,6.16,22.71,30.78,33.6,27.33,34.23,18.46,9.93,17.06,69.14,62.73,73.32,53.69,29.71,57.44,23.19,14.9,4.44,7.31,14.19,72.07,30.47,88.03,15.84,52.1,31.4
2011-09-29,64.37,46.72,41.26,62.37,390.57,62.58,33.46,41.74,25.45,71.23,39.45,52.16,99.87,89.54,32.53,51.93,15.86,19.73,17.98,222.44,28.7,56.53,69.05,74.53,21.69,33.93,179.17,94.39,24.99,41.35,34.08,44.99,75.39,45.87,6.35,22.89,30.7,33.79,27.19,34.48,18.6,10.0,16.67,70.21,63.7,72.49,53.85,30.27,58.18,23.78,14.87,4.55,7.34,13.42,73.88,31.39,88.78,15.85,53.27,32.02
2011-09-30,63.32,44.9,40.87,60.51,381.32,61.9,32.12,41.29,24.89,71.01,37.51,50.62,94.55,88.68,32.89,51.9,15.22,19.0,17.68,216.23,27.24,55.77,67.56,71.79,20.92,32.8,174.87,92.59,24.12,39.97,33.59,43.87,73.84,45.26,6.12,21.95,29.97,32.87,26.65,33.58,17.78,9.67,15.73,68.26,63.18,72.64,53.19,29.15,56.89,22.45,14.14,4.45,6.97,13.17,72.63,30.12,87.82,15.5,52.17,31.49
2011-10-03,60.99,43.48,39.5,58.25,374.6,60.29,30.68,40.53,24.53,70.66,35.45,48.39,90.08,88.3,32.47,51.96,14.69,18.11,17.33,211.98,26.18,54.69,65.42,70.93,20.36,31.88,173.29,89.88,23.18,38.49,32.97,42.13,70.55,44.59,5.53,20.46,28.96,31.59,26.46,33.08,17.17,9.37,15.02,66.97,62.84,71.16,52.88,28.74,55.67,22.2,13.91,4.34,6.72,13.53,71.15,28.65,86.02,15.19,50.87,30.82
2011-10-04,62.27,43.43,40.15,59.14,372.5,60.45,32.56,41.08,25.34,70.38,37.47,49.99,94.58,88.42,32.85,52.88,14.86,18.82,17.59,212.5,27.1,55.47,65.23,72.01,21.17,32.83,174.74,91.48,24.21,40.23,33.0,44.1,72.54,44.5,5.76,20.55,30.05,32.47,27.25,32.86,17.96,10.08,15.88,67.21,63.37,72.7,53.2,28.87,57.11,23.02,14.53,4.28,7.01,14.46,72.83,30.26,86.48,15.58,51.69,31.45
2011-10-05,63.93,43.41,39.97,59.96,378.25,60.29,33.03,41.83,25.89,70.34,38.55,51.29,94.29,89.5,33.03,52.65,15.27,18.78,17.98,219.5,28.18,55.1,65.53,72.53,21.63,32.81,176.85,94.66,24.5,41.21,33.27,44.82,74.26,45.32,5.77,21.36,30.94,32.83,28.2,32.89,19.61,10.56,16.21,66.69,63.34,72.49,52.95,29.17,57.71,23.86,15.38,4.26,7.13,15.92,73.95,30.84,85.83,16.16,51.76,31.36
2011-10-06,64.35,44.43,40.47,61.48,377.37,60.57,33.6,42.37,26.34,70.98,39.58,52.59,97.93,90.19,33.37,52.75,15.53,19.12,18.23,221.51,28.78,56.12,65.39,74.65,22.09,33.34,181.69,94.61,25.37,41.86,33.75,46.31,77.09,46.44,6.28,22.02,31.29,33.38,28.32,33.56,20.29,10.99,16.69,67.2,63.61,73.13,53.44,29.59,58.95,25.05,15.55,4.28,7.2,15.65,73.89,32.38,87.11,16.75,52.29,32.15
