,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2010-10-13,60.13,39.26,45.88,71.47,300.14,66.4,49.53,41.86,25.34,66.82,45.82,52.75,154.73,75.73,34.8,53.82,17.28,31.95,17.73,155.17,36.0,59.45,59.94,89.14,18.14,34.86,140.37,83.67,25.81,46.88,31.64,53.95,80.29,47.4,13.29,42.71,31.49,31.0,28.12,31.49,18.26,13.64,26.78,70.3,62.63,71.12,50.81,36.35,64.06,42.21,14.13,4.87,11.08,15.25,65.04,39.84,75.75,23.18,62.19,30.0
2010-10-14,60.32,39.44,45.52,71.36,302.31,66.64,48.86,41.65,25.23,66.44,45.44,53.4,151.59,75.84,34.49,53.25,17.16,32.22,17.66,155.53,35.93,59.29,59.91,89.07,18.38,34.89,141.5,83.9,24.72,46.49,31.25,54.69,79.91,47.76,12.6,41.94,31.41,30.81,28.31,31.8,18.16,13.91,26.52,72.37,62.8,70.2,50.37,36.81,63.17,42.13,14.27,4.82,11.03,15.93,65.3,38.72,77.04,23.07,61.83,30.17
2010-10-15,60.78,39.09,45.71,70.11,314.74,66.68,48.75,41.53,25.54,66.38,45.38,52.94,150.69,75.89,34.58,53.35,16.3,32.13,17.75,164.64,35.6,59.02,59.94,89.14,18.95,35.17,141.06,83.61,23.58,46.67,31.31,54.88,79.75,47.44,11.98,41.47,31.79,30.7,28.72,31.65,18.1,13.8,26.66,71.51,62.76,70.02,50.08,36.61,63.93,42.82,14.49,4.63,11.06,16.25,65.19,37.15,77.48,23.36,61.87,30.07
2010-10-18,61.26,39.55,47.33,70.23,318.0,66.5,49.3,41.62,25.82,66.81,45.72,52.75,153.7,76.73,34.41,53.76,16.25,32.95,17.8,163.56,35.49,59.77,60.0,89.66,19.01,35.25,142.83,84.48,24.87,47.11,31.25,55.38,80.24,47.65,12.34,42.26,31.73,30.53,28.36,31.66,18.45,13.88,26.67,72.58,63.35,70.04,50.1,36.99,64.37,43.32,14.66,4.72,11.22,15.93,66.28,38.2,77.32,23.3,61.62,29.88
2010-10-19,60.0,39.31,46.54,69.05,309.49,65.41,47.57,40.72,25.1,66.07,45.04,51.18,156.72,76.25,33.63,53.32,16.07,32.87,17.39,158.67,35.03,58.81,60.34,88.55,19.11,34.19,138.03,82.79,24.55,45.98,30.55,53.38,78.55,46.48,11.8,41.01,31.2,30.41,28.03,31.45,18.04,13.32,26.03,71.35,63.18,69.47,49.9,36.48,62.96,42.83,14.49,4.71,10.94,15.49,65.12,37.69,76.99,22.97,60.43,28.92
2010-10-20,61.27,39.73,47.24,71.36,310.53,64.97,47.8,40.92,25.31,66.58,46.13,51.67,159.6,77.18,34.03,53.47,16.05,33.21,17.66,158.67,36.03,59.5,61.15,89.47,19.38,34.89,139.07,84.02,25.6,47.08,31.03,54.39,80.32,46.64,11.75,41.61,31.71,30.73,28.09,31.8,18.15,13.64,26.36,71.69,63.37,69.83,50.02,36.65,63.83,42.82,14.69,4.78,11.09,15.8,66.01,38.1,77.41,23.4,61.15,29.41
2010-10-21,61.12,40.27,47.83,71.5,309.52,65.18,48.82,40.5,25.42,66.86,44.66,52.51,159.3,76.7,34.1,54.03,16.1,33.4,17.63,164.97,36.23,58.98,61.47,90.55,19.51,34.74,139.83,84.25,26.03,47.13,31.25,54.44,78.89,46.25,11.36,41.28,31.82,31.81,28.22,31.82,17.69,13.81,26.28,71.62,63.51,71.84,49.75,36.3,64.55,42.4,14.6,4.7,11.21,15.97,66.32,37.7,78.44,23.26,61.72,30.03
2010-10-22,61.67,39.03,47.6,71.26,307.47,65.01,48.72,40.27,25.38,66.56,44.87,53.15,157.76,76.84,34.07,54.06,16.06,33.43,17.5,169.13,37.29,58.12,61.61,90.44,19.46,34.58,139.67,84.55,26.11,46.83,31.36,54.4,78.33,46.57,11.44,41.56,31.52,31.48,28.66,31.9,17.65,13.95,26.49,71.7,63.4,71.78,49.55,36.21,64.5,42.87,14.59,4.71,11.42,16.31,66.34,37.7,78.55,23.48,61.9,29.97
2010-10-25,61.34,39.3,47.14,71.66,308.84,65.05,48.75,40.31,25.19,66.47,44.68,53.52,157.39,76.87,34.44,53.95,16.06,33.56,17.62,169.0,37.57,58.35,61.01,90.9,19.77,34.84,139.84,84.87,25.72,47.7,31.23,54.24,79.05,46.49,11.16,41.1,31.64,31.4,28.98,32.47,17.77,14.15,26.43,71.36,63.54,71.41,49.57,36.13,64.06,42.88,14.71,4.71,11.6,16.4,66.2,37.07,78.7,23.61,60.91,30.13
2010-10-26,61.37,40.1,47.55,71.3,308.05,64.79,48.76,40.17,25.9,62.61,44.1,54.08,158.29,76.45,34.14,54.56,16.16,33.91,17.49,169.95,37.77,57.74,61.24,90.47,19.64,34.54,140.67,85.15,25.91,47.22,30.77,54.38,78.65,45.76,11.3,42.03,31.48,31.29,28.88,32.33,18.0,14.36,26.48,70.87,62.86,71.8,49.26,35.99,64.09,42.95,14.51,4.64,11.49,16.46,66.53,37.2,78.76,23.4,61.35,29.75
2010-10-27,60.08,40.68,47.3,70.86,307.83,64.27,47.35,39.36,26.05,62.35,43.63,51.27,160.15,75.5,33.95,53.87,16.11,33.85,17.28,167.51,37.71,57.58,61.19,90.37,20.27,34.38,141.43,84.31,25.75,46.96,30.84,53.55,78.22,45.65,11.54,41.82,31.45,30.9,29.44,32.0,18.2,14.23,27.0,70.91,63.08,70.89,49.08,36.18,65.42,42.39,14.67,4.56,11.55,16.42,65.67,37.54,77.48,23.29,61.38,29.35
2010-10-28,59.58,41.22,45.64,71.27,305.24,65.01,47.01,39.38,26.28,62.54,43.62,51.62,163.24,74.92,34.14,54.08,16.08,33.82,17.57,166.84,37.52,57.99,61.21,85.07,20.86,34.79,140.9,84.44,25.94,47.03,30.66,54.4,77.74,46.6,11.53,41.98,32.36,31.19,29.24,32.14,18.22,14.22,26.67,71.13,63.19,71.02,49.38,36.42,67.78,42.66,14.59,4.6,11.68,16.4,66.22,37.51,77.48,23.19,62.24,29.67
2010-10-29,59.39,41.46,46.08,70.64,300.98,65.3,48.18,39.04,26.67,63.34,43.75,51.73,161.13,77.12,33.88,54.17,16.02,33.84,17.42,165.23,37.05,57.95,61.32,84.22,20.63,35.11,143.6,82.6,26.06,47.28,30.13,54.48,78.6,46.0,11.45,42.01,32.51,30.9,29.57,32.27,17.95,14.13,26.74,70.82,63.57,71.29,50.26,36.03,68.12,42.04,14.4,4.66,11.7,16.49,66.49,37.63,77.77,22.86,63.22,29.69
2010-11-01,58.95,41.56,46.9,70.48,304.18,65.55,49.43,39.31,26.95,62.17,43.98,51.53,161.57,77.26,34.05,54.31,15.95,32.7,17.62,162.58,37.43,57.52,61.71,83.98,20.5,35.02,143.32,81.45,25.93,46.9,29.9,54.36,79.27,45.56,11.5,41.92,32.33,30.71,29.44,31.78,17.82,14.23,27.19,69.63,63.62,71.47,50.75,34.33,67.86,42.49,14.41,4.53,11.61,16.15,66.95,37.42,77.88,22.92,63.51,29.61
2010-11-02,59.34,42.39,47.8,69.78,309.36,65.8,50.78,39.05,27.39,62.95,44.41,52.27,162.82,78.05,34.49,54.79,15.94,32.71,17.45,164.61,37.94,58.28,61.86,84.8,20.68,35.58,143.84,82.15,25.97,47.42,30.53,55.82,79.75,45.71,11.4,42.12,32.41,31.51,29.6,31.84,18.0,14.43,27.3,70.23,64.02,71.64,49.69,34.25,67.99,42.91,14.37,4.53,11.72,16.19,67.84,36.96,78.4,23.17,64.59,30.12
2010-11-03,59.41,42.07,47.73,68.94,312.8,65.2,52.03,39.26,27.03,62.97,44.68,52.22,162.63,78.46,35.18,54.91,16.06,32.86,17.59,168.47,38.02,58.62,61.95,85.3,20.67,35.47,144.17,82.7,26.46,47.06,30.87,56.13,79.88,45.92,11.52,43.57,32.07,31.46,30.0,31.57,18.14,15.18,27.64,70.71,64.31,70.93,49.57,34.4,67.95,43.81,14.48,4.58,11.7,16.17,67.97,37.72,78.5,23.71,64.28,30.12
2010-11-04,61.25,43.73,48.06,70.85,318.27,65.35,54.25,40.05,27.14,62.98,45.24,52.98,166.39,78.44,35.95,55.36,16.51,33.21,17.38,168.93,39.15,59.05,62.45,87.04,21.06,36.31,146.79,85.14,27.46,48.36,31.51,57.65,83.18,47.33,12.13,44.74,31.76,31.94,30.75,31.79,18.93,15.86,28.36,72.73,65.0,71.96,49.31,34.76,69.17,44.07,14.52,4.68,11.93,16.2,69.38,39.8,79.18,24.21,65.27,31.89
2010-11-05,61.81,44.07,48.15,71.27,317.13,65.08,54.76,40.85,26.85,63.03,45.23,52.42,171.07,77.57,35.14,55.2,16.73,33.4,17.18,170.77,39.55,58.63,62.58,86.34,21.04,35.88,146.92,84.98,29.22,48.18,30.94,57.15,83.54,48.13,12.36,45.61,31.34,31.92,31.47,31.08,19.14,16.21,28.7,72.64,65.0,73.27,49.32,35.75,69.66,43.72,14.46,4.66,11.9,16.27,70.0,40.94,79.3,24.26,65.34,31.82
2010-11-08,62.41,43.9,48.33,70.21,318.62,65.11,54.11,40.5,26.81,62.82,45.07,52.08,169.2,77.52,35.09,54.91,16.71,33.67,17.05,171.99,39.47,57.98,62.46,85.86,20.91,35.51,146.46,84.8,29.04,48.37,31.23,56.76,83.12,48.03,12.6,44.63,31.52,31.49,31.38,31.12,19.2,16.41,29.32,73.74,64.75,73.29,49.32,36.36,69.4,44.25,14.29,4.64,11.73,16.44,70.32,40.51,79.31,24.39,65.34,31.5
2010-11-09,62.03,43.36,48.02,69.25,316.08,65.3,52.95,39.61,26.95,62.16,44.39,51.63,166.55,76.99,35.24,55.05,16.62,33.31,16.99,170.27,38.55,56.92,62.64,85.3,20.77,35.32,146.14,83.56,28.13,47.61,31.03,54.98,81.91,47.56,12.27,42.86,31.82,31.47,31.34,30.62,19.14,16.07,29.33,73.1,64.81,72.55,48.94,36.41,69.2,44.12,14.41,4.6,11.77,16.97,70.63,39.9,79.1,24.35,65.28,30.8
2010-11-10,63.21,43.56,47.96,67.07,318.03,65.25,52.02,39.9,26.94,61.86,44.58,51.13,167.22,76.94,35.11,54.51,16.55,33.56,16.83,173.33,39.19,56.8,62.55,86.25,20.73,34.86,146.55,85.17,28.58,47.19,31.13,54.96,82.46,48.74,12.57,42.99,31.92,31.68,31.34,30.5,19.54,16.63,30.03,75.0,64.57,71.92,48.88,36.9,68.21,44.16,14.49,4.84,11.57,16.94,71.13,40.62,79.5,24.49,65.22,30.81
2010-11-11,62.89,43.35,47.15,65.37,316.65,64.9,52.45,39.75,26.68,62.15,44.46,50.7,167.71,76.75,35.21,54.34,16.35,33.32,16.98,170.37,39.13,56.44,62.8,86.5,20.68,34.39,145.43,86.09,28.19,47.19,30.86,54.54,82.44,48.57,12.37,42.51,31.1,31.7,30.8,30.46,19.96,16.61,29.5,75.25,64.36,70.11,49.25,36.76,67.42,43.1,13.93,4.8,11.44,16.8,71.83,40.02,79.7,20.52,64.07,30.69
2010-11-12,62.42,42.7,46.41,63.09,308.03,64.64,50.87,39.62,26.27,62.02,43.53,50.29,165.83,76.58,34.83,54.13,16.25,32.95,16.85,165.68,38.54,55.64,62.92,86.24,20.43,34.0,143.74,85.44,27.54,46.52,30.24,53.91,81.04,47.75,12.12,41.81,30.74,31.44,30.95,30.62,19.97,16.3,29.03,75.51,64.33,69.49,48.95,36.31,66.5,42.21,13.42,4.7,11.29,16.55,70.99,39.61,78.85,20.15,62.9,30.36
2010-11-15,62.07,42.7,46.54,63.61,307.04,64.42,51.86,39.23,26.2,62.18,43.57,49.65,167.22,78.37,34.51,53.95,16.2,33.64,16.75,158.9,38.3,56.35,62.96,86.2,20.59,33.6,143.64,84.86,27.65,46.31,30.05,53.68,81.82,47.71,12.1,42.42,30.51,31.39,30.85,30.79,19.52,17.0,28.91,75.66,64.29,69.37,48.8,36.55,66.55,42.54,13.51,4.72,11.31,16.6,70.48,40.08,79.07,19.95,63.01,30.17
2010-11-16,60.94,41.93,45.9,62.78,301.59,64.04,51.65,38.54,25.81,61.53,42.65,49.07,165.1,76.81,34.01,54.26,15.86,33.67,16.6,157.78,37.59,55.74,62.08,84.24,20.26,32.96,142.24,82.48,27.19,45.68,29.65,51.87,80.37,47.01,11.94,41.71,30.54,31.71,30.57,30.34,18.76,16.51,28.85,74.93,63.45,68.68,48.94,35.9,65.54,41.8,13.4,4.64,11.03,16.24,68.94,39.61,77.42,19.44,61.9,29.85
2010-11-17,60.81,41.41,46.34,62.5,300.5,63.94,51.76,39.57,25.57,61.67,43.06,48.99,164.89,77.37,34.01,53.77,15.81,34.47,16.48,158.35,37.79,55.69,62.52,83.95,20.39,33.33,141.95,82.46,26.86,45.66,29.83,52.04,81.17,47.53,11.62,41.78,30.54,30.83,30.91,30.49,19.1,16.68,28.93,75.85,63.27,68.55,48.88,36.95,65.39,40.97,13.35,4.76,11.14,16.15,69.01,39.18,78.37,19.41,62.05,29.98
2010-11-18,61.75,42.25,47.07,64.61,308.43,64.77,52.88,40.25,25.84,62.1,43.63,49.76,167.35,78.21,34.42,53.98,16.04,35.41,16.83,164.17,38.72,56.79,63.84,85.55,20.57,34.26,144.36,83.82,27.51,46.53,30.79,52.99,83.11,48.48,11.7,42.56,30.51,30.87,31.48,30.72,19.76,16.12,30.91,77.29,64.02,69.15,49.38,37.99,67.05,41.69,13.67,4.95,11.61,16.99,70.31,39.66,79.02,19.61,63.07,30.8
2010-11-19,61.92,42.75,47.01,63.59,306.73,64.71,53.08,40.16,25.69,61.84,43.81,49.97,166.67,78.53,34.76,54.39,16.22,35.4,16.8,164.82,39.01,56.64,64.32,85.01,20.56,34.14,145.05,83.94,27.49,47.1,31.03,53.19,83.97,48.42,11.66,42.73,30.76,31.22,31.94,30.44,19.57,16.28,31.22,78.47,64.05,69.43,48.98,37.88,66.6,42.49,13.9,4.97,11.68,16.57,70.54,39.41,79.64,19.61,63.26,31.0
2010-11-22,61.49,42.22,46.53,64.03,313.36,64.7,52.65,39.98,25.73,62.12,43.59,49.4,161.05,78.39,34.89,54.38,16.03,35.37,16.63,170.39,39.15,56.59,64.27,84.9,20.4,33.64,145.39,83.45,26.95,46.8,30.98,52.52,84.0,48.46,11.3,42.14,30.82,31.09,32.24,30.55,19.69,16.2,30.91,78.47,63.56,68.64,49.13,37.36,66.26,43.25,13.96,4.9,11.72,16.56,70.19,38.51,79.52,19.56,62.28,30.86
2010-11-23,60.52,41.95,46.44,63.6,308.73,63.89,51.38,39.01,25.12,61.46,42.97,48.69,157.78,77.76,33.98,53.67,15.76,34.45,16.57,168.2,38.6,55.03,63.62,83.59,20.15,32.48,143.18,81.75,26.8,46.05,31.0,50.96,82.63,47.5,11.09,40.85,29.87,30.91,31.98,30.23,19.36,15.7,30.87,77.43,62.61,68.32,49.3,36.63,66.48,44.19,13.82,4.84,11.5,16.19,68.98,37.63,79.01,19.2,61.29,29.72
2010-11-24,61.45,43.0,47.01,65.41,314.8,64.33,52.94,39.09,25.37,61.29,44.32,48.15,160.26,77.97,34.31,54.01,15.94,35.0,16.69,177.25,39.69,55.08,64.61,84.66,20.38,32.61,145.81,82.93,27.11,47.06,31.56,50.92,84.69,48.59,11.28,41.76,30.37,31.16,32.55,30.54,19.84,15.95,31.45,78.93,62.6,69.16,49.19,37.26,68.02,43.74,13.88,4.85,11.8,16.41,69.88,38.16,79.48,19.46,62.2,29.86
2010-11-26,60.81,42.27,46.48,64.8,315.0,63.9,52.58,39.42,25.25,61.64,43.88,48.37,158.22,77.39,33.68,53.74,15.8,34.58,16.49,177.2,39.39,54.87,64.11,84.4,20.22,32.14,143.9,82.05,26.65,46.31,31.15,50.15,84.13,47.72,11.12,41.25,30.31,31.0,32.2,30.3,19.56,16.1,31.32,78.36,62.13,68.8,49.48,36.84,67.12,43.2,13.65,4.74,11.76,16.22,69.23,37.5,78.54,19.49,61.76,29.42
2010-11-29,60.68,43.33,46.54,64.36,316.87,64.01,51.73,38.72,25.31,61.53,43.94,47.62,159.28,77.19,34.8,53.85,15.97,35.0,16.56,179.49,39.14,54.58,63.39,84.22,20.21,31.15,142.89,81.69,27.2,46.92,31.44,49.29,83.67,47.76,11.31,41.53,29.9,30.69,32.2,30.19,19.57,16.06,31.43,78.25,62.13,68.2,49.19,36.74,66.31,42.6,13.57,4.74,11.6,16.38,69.45,37.91,78.26,19.44,61.22,28.94
2010-11-30,60.17,43.22,46.25,63.77,311.15,64.63,51.18,38.28,25.26,61.89,43.11,46.93,156.14,76.55,34.85,54.09,15.83,35.48,16.3,175.4,39.21,53.41,63.17,83.98,20.04,30.52,141.46,80.97,27.21,46.99,31.0,48.77,84.6,47.06,10.95,41.29,29.49,30.21,31.8,30.25,19.48,15.94,31.67,77.69,61.07,68.04,49.23,36.23,66.09,41.93,13.22,4.71,11.46,15.82,69.56,37.4,78.3,19.16,61.68,28.38
2010-12-01,62.45,44.3,47.25,65.72,316.4,65.63,54.49,38.66,26.04,62.46,44.44,47.59,158.45,77.23,35.67,54.7,16.3,36.47,16.7,176.55,40.22,54.11,64.7,86.05,20.83,31.46,144.41,82.7,27.53,48.35,31.87,49.57,87.45,47.92,11.29,42.28,30.21,31.61,32.58,30.63,20.16,16.46,32.17,79.58,62.15,69.4,49.44,37.27,67.62,42.57,13.41,4.77,11.76,16.15,71.33,38.15,79.29,19.32,63.35,29.09
2010-12-02,63.7,44.98,48.33,66.59,318.15,65.2,56.57,38.94,26.89,61.68,45.2,47.96,162.5,77.76,36.11,54.75,16.68,36.56,16.69,176.53,40.52,54.61,64.9,86.51,20.72,31.68,145.18,84.5,28.78,48.63,31.98,50.38,88.62,48.95,11.68,42.88,30.44,33.36,32.85,30.43,20.73,16.78,31.87,79.02,62.36,69.8,49.53,37.67,67.8,43.11,13.65,4.82,11.77,16.33,71.48,39.31,79.38,19.22,64.03,29.64
2010-12-03,63.92,44.88,47.43,66.54,317.44,65.17,58.65,39.19,27.02,62.01,45.2,49.01,162.31,77.95,36.86,54.62,16.78,36.32,16.72,175.68,40.99,54.75,64.5,86.94,20.71,32.12,145.38,84.89,29.05,49.24,32.42,51.34,89.38,49.62,11.86,43.76,30.64,33.48,32.82,30.32,21.08,16.8,32.6,79.05,62.33,69.18,49.5,38.2,67.58,43.03,13.69,4.87,11.83,16.35,71.19,39.61,79.76,19.07,63.21,30.0
2010-12-06,64.18,45.0,47.2,66.59,320.15,64.73,57.98,39.08,26.84,61.68,45.37,48.83,162.65,77.74,36.35,54.49,16.7,36.57,16.81,178.05,41.0,54.5,63.99,86.88,20.6,31.93,144.99,84.95,28.74,48.93,32.52,51.52,89.2,49.15,11.64,43.6,31.1,33.34,32.95,30.29,20.98,16.65,32.94,79.14,62.06,68.78,49.3,37.95,67.63,42.85,13.7,4.86,11.8,16.33,71.31,39.9,79.58,19.43,63.72,30.1
2010-12-07,64.37,44.78,47.2,66.23,318.21,64.68,57.8,39.35,26.87,61.94,45.81,48.95,161.59,78.17,36.22,55.09,17.03,36.1,16.77,176.77,40.89,54.57,64.14,84.19,20.79,32.16,144.02,86.3,28.47,48.96,33.06,51.72,90.35,48.93,11.57,43.95,31.2,33.55,33.41,30.64,21.24,16.56,33.23,78.67,62.15,69.45,48.91,37.17,68.73,42.19,13.6,4.81,11.86,16.94,71.46,39.25,80.34,19.39,64.38,30.75
2010-12-08,64.61,45.63,46.46,65.18,321.01,64.63,57.45,39.45,27.23,61.93,45.68,48.75,166.14,78.65,36.47,54.49,17.04,36.36,16.72,176.29,41.32,54.64,64.39,84.68,20.79,32.64,144.98,86.14,29.37,48.88,33.3,51.93,89.62,48.79,12.0,42.22,31.41,34.03,33.75,31.03,21.09,16.69,33.3,78.36,62.63,68.73,49.64,37.26,68.47,42.66,13.68,4.81,11.92,17.02,71.85,40.26,78.74,19.35,64.36,30.8
2010-12-09,64.67,45.81,45.87,64.61,319.76,64.72,58.1,39.58,27.08,61.98,46.77,49.03,166.45,78.19,36.37,54.34,17.13,36.2,16.76,174.85,41.71,54.83,64.83,84.11,20.85,32.69,144.3,86.65,30.07,48.32,33.59,52.2,89.67,48.98,12.65,47.78,31.39,34.32,33.74,31.09,20.99,16.76,33.36,77.97,62.87,68.31,49.77,37.77,68.89,42.54,13.65,4.99,12.01,16.95,72.0,40.81,77.61,19.7,63.61,30.92
2010-12-10,64.58,46.26,45.58,64.16,320.56,64.9,58.03,39.64,27.34,61.7,47.67,49.01,168.47,78.21,36.43,54.28,17.72,35.83,17.02,175.62,41.96,54.73,64.65,84.32,21.31,32.71,144.82,87.03,30.27,48.62,33.65,52.19,89.94,48.99,12.8,48.95,31.79,34.4,32.8,30.75,21.62,16.73,34.72,77.26,63.2,68.84,49.78,37.54,69.56,42.62,13.89,5.0,12.0,17.01,72.18,41.43,77.56,19.7,64.16,30.85
2010-12-13,65.47,46.37,45.47,63.79,321.67,65.53,58.45,39.98,27.25,61.64,46.6,49.4,169.48,79.35,36.44,54.21,17.62,35.88,17.19,174.25,41.77,55.12,64.85,85.3,21.32,32.87,144.28,88.37,30.22,48.56,33.75,53.19,91.63,49.0,12.54,48.52,31.63,34.56,32.6,30.88,21.36,16.47,34.59,77.98,63.19,68.62,50.22,37.88,69.4,41.65,13.36,5.14,11.92,16.7,72.36,41.51,77.11,19.58,64.0,31.21
2010-12-14,65.65,46.2,45.63,64.49,320.29,65.59,58.91,39.86,27.62,62.01,47.04,49.76,167.33,80.78,36.75,54.45,17.69,35.63,17.11,173.94,41.58,55.83,63.9,85.84,21.99,33.16,145.82,88.38,29.82,49.13,34.08,53.79,92.09,48.79,12.4,51.77,31.47,34.72,32.8,31.39,21.4,16.42,34.7,78.04,63.55,70.02,51.02,37.95,69.98,41.54,13.31,5.13,11.9,16.63,72.18,40.79,77.11,19.54,64.71,31.45
2010-12-15,65.12,46.12,44.86,64.24,320.36,65.24,59.23,39.8,27.85,61.99,49.28,49.26,165.21,80.99,37.13,54.23,17.49,35.65,17.08,175.57,40.91,58.99,64.74,85.81,21.61,32.79,144.72,88.01,29.79,49.24,33.84,52.76,93.12,48.78,12.29,51.19,31.35,34.79,32.64,31.48,21.05,16.55,34.69,78.14,63.64,69.72,51.06,37.78,69.35,41.23,13.29,5.06,11.6,16.45,71.85,40.21,76.98,19.47,63.75,31.13
2010-12-16,65.67,44.57,45.39,64.4,321.25,65.75,59.48,40.04,27.99,62.23,50.03,49.49,164.46,81.18,37.72,54.63,17.77,35.59,17.22,178.04,41.26,58.86,65.34,86.4,21.65,32.62,144.55,89.06,30.02,49.45,34.56,52.95,93.2,49.66,12.52,52.1,31.25,35.12,32.62,31.64,21.31,16.77,34.72,78.3,64.5,70.37,51.14,38.39,70.42,41.95,13.33,5.15,11.81,16.51,72.22,40.01,76.71,19.75,64.57,31.4
2010-12-17,65.06,44.01,45.17,65.03,320.61,65.97,58.49,39.51,27.9,62.74,50.62,50.0,164.04,81.0,37.58,54.41,17.7,35.39,17.03,177.58,41.65,58.74,65.7,86.37,21.42,32.25,145.0,88.49,29.96,49.86,34.4,52.74,92.59,49.5,12.57,52.56,31.51,35.1,32.53,31.93,21.08,16.8,34.22,77.48,64.81,70.07,51.23,38.48,70.28,41.96,13.64,5.17,11.75,16.38,72.17,39.67,76.81,19.55,64.12,31.2
2010-12-20,65.99,42.5,44.96,63.27,322.21,66.31,57.82,39.35,27.81,63.05,50.95,49.53,166.05,80.44,37.28,53.77,17.7,35.19,17.17,183.29,42.54,58.77,65.31,87.34,21.93,32.2,144.51,88.8,30.1,49.72,34.36,52.69,93.3,49.41,12.62,53.42,31.65,35.2,32.33,31.73,22.18,16.85,34.29,77.23,64.97,69.65,51.36,39.18,70.01,41.89,13.36,5.2,11.8,16.28,72.22,39.95,76.92,19.62,64.08,31.17
2010-12-21,66.63,43.23,44.95,64.19,324.2,65.4,59.17,39.09,28.07,63.03,51.34,50.16,168.23,79.9,36.83,53.65,17.9,36.24,17.38,184.75,42.38,58.9,65.49,86.53,22.25,32.3,145.74,89.23,30.82,49.97,34.48,53.23,94.63,50.26,12.98,55.18,31.84,35.08,32.44,31.84,22.8,16.99,34.63,78.01,64.87,69.8,51.11,39.45,70.19,41.91,13.84,5.24,11.89,16.6,72.72,41.0,76.86,19.53,64.5,31.2
2010-12-22,67.03,42.81,45.6,64.61,325.16,65.68,57.17,39.07,28.19,63.19,51.24,50.18,169.6,80.92,38.85,53.31,18.06,35.48,17.56,184.76,42.2,59.17,65.59,86.72,22.2,32.52,145.95,89.92,31.31,49.8,34.95,53.21,94.57,50.81,13.38,55.76,32.27,35.18,32.47,31.88,22.72,16.99,34.24,77.69,64.95,69.35,51.3,39.42,70.53,41.48,13.88,5.28,11.76,16.63,72.8,42.16,77.01,19.56,65.13,31.08
2010-12-23,67.08,42.77,45.58,65.06,323.6,65.69,57.55,39.18,28.3,63.22,50.94,50.25,167.6,80.53,39.19,53.6,18.04,35.57,17.61,182.59,42.09,58.82,65.58,86.47,22.18,32.5,145.89,90.68,30.99,49.77,34.71,53.26,94.45,50.72,13.06,54.33,32.31,35.09,32.36,31.88,23.02,16.78,33.78,77.66,65.24,69.25,51.15,39.34,71.02,41.74,13.79,5.3,11.69,16.72,73.2,42.08,76.96,19.69,64.88,31.26
2010-12-27,67.15,43.05,45.57,64.75,324.68,65.42,58.19,39.15,28.07,63.15,51.21,50.55,169.83,80.41,38.96,53.57,18.19,35.61,17.49,182.14,41.78,58.61,65.07,87.01,22.1,32.14,145.34,90.12,31.21,49.63,34.65,52.85,94.07,51.85,13.27,59.38,32.27,35.24,32.38,31.61,23.01,16.87,33.57,77.9,64.67,69.31,51.07,39.54,71.1,41.82,13.77,5.3,11.63,16.48,73.01,42.67,76.43,20.16,64.64,31.25
2010-12-28,67.55,42.79,45.65,64.86,325.47,65.28,57.94,39.14,28.01,63.38,51.39,50.47,169.19,80.78,39.47,53.74,18.32,35.84,17.59,181.09,41.83,59.12,65.36,86.74,22.08,32.0,145.71,91.19,31.2,49.82,34.75,52.81,93.69,51.5,13.34,58.93,32.23,35.09,32.24,31.86,22.91,16.73,33.79,78.25,64.76,69.58,51.15,39.54,71.02,42.25,13.69,5.34,11.58,16.43,73.42,42.61,76.43,20.35,64.81,31.33
2010-12-29,67.93,42.86,45.45,65.05,325.29,65.33,58.15,39.28,27.97,63.16,51.41,50.76,167.63,80.46,39.48,54.08,18.27,35.87,17.6,183.37,41.75,59.15,65.45,86.76,21.95,32.37,146.52,91.37,31.02,50.02,34.9,53.67,93.78,51.3,13.31,57.27,32.0,34.89,32.51,31.56,23.35,16.74,33.91,79.1,64.4,69.13,51.11,39.58,70.83,42.32,13.65,5.42,11.62,16.61,73.37,42.36,76.99,20.25,64.88,31.49
2010-12-30,68.0,42.51,45.95,65.01,323.66,65.12,58.0,39.05,27.85,63.04,51.75,50.28,167.64,80.3,39.24,54.07,18.19,35.57,17.49,182.75,41.46,58.94,65.5,86.54,22.08,32.29,146.67,91.6,30.82,49.69,35.0,53.38,93.87,51.2,13.28,57.53,32.07,34.86,32.5,31.51,23.14,16.69,34.09,78.35,64.28,68.69,51.12,39.09,70.77,42.26,13.65,5.36,11.48,16.76,73.36,42.23,76.76,20.23,64.44,31.55
